States;States_Code
Alabama;AL
Alaska;AK
American Samoa;
Arizona;AZ
Arkansas;AR
California;CA
Colorado;CO
Connecticut;CT
Dakota Territory;
Delaware;DE
District of Columbia;
Florida;FL
Georgia;GA
Guam;
Hawaii;HI
Idaho;ID
Illinois;IL
Indiana;IN
Iowa;IA
Kansas;KS
Kentucky;KY
Louisiana;LA
Maine;ME
Maryland;MD
Massachusetts;MA
Michigan;MI
Minnesota;MN
Mississippi;MS
Missouri;MO
Montana;MT
Navajo Nation;
Nebraska;NE
Nevada;NV
New Hampshire;NH
New Jersey;NJ
New Mexico;NM
New York;NY
North Carolina;NC
North Dakota;ND
Northern Mariana Islands;
Ohio;OH
Oklahoma;OK
Oregon;OR
Pennsylvania;PA
Puerto Rico;
Rhode Island;RI
South Carolina;SC
South Dakota;SD
Tennessee;TN
Texas;TX
United States;US
Utah;UT
Vermont;VT
Virgin Islands;
Virginia;VA
Washington;WA
West Virginia;WV
Wisconsin;WI
Wyoming;WY
